axis,type,index
x,random,1965
x,random,1693
x,random,1611
x,random,241
x,random,492
x,random,905
x,random,243
x,random,1136
x,random,872
x,random,1227
x,random,1899
x,random,315
x,random,1941
x,random,1477
x,random,1505
x,random,1348
x,random,97
x,random,1728
x,random,1539
x,random,1097
x,random,985
x,random,15
x,random,1808
x,random,324
x,random,1439
x,random,1779
x,random,35
x,random,581
x,random,404
x,random,1733
x,random,536
x,random,1054
x,random,828
x,random,864
x,random,75
x,random,417
x,random,1300
x,random,510
x,random,947
x,random,480
x,random,792
x,random,588
x,random,733
x,random,1413
x,random,1550
x,random,1667
x,random,833
x,random,200
x,random,267
x,random,1212
x,random,1213
x,random,593
x,random,1684
x,random,184
x,random,1474
x,random,11
x,random,1292
x,random,481
x,random,514
x,random,1149
x,random,44
x,random,1598
x,random,630
x,random,1258
x,random,916
x,random,1809
x,random,799
x,random,837
x,random,1238
x,random,455
x,random,1427
x,random,1794
x,random,1887
x,random,222
x,random,427
x,random,1940
x,random,1048
x,random,1267
x,random,790
x,random,458
x,random,653
x,random,721
x,random,1549
x,random,336
x,random,1102
x,random,765
x,random,1618
x,random,471
x,random,333
x,random,901
x,random,1545
x,random,1745
x,random,879
x,random,1544
x,random,162
x,random,325
x,random,32
x,random,1631
x,random,1068
x,random,1199
y,random,2101
y,random,267
y,random,629
y,random,1066
y,random,1809
y,random,183
y,random,575
y,random,153
y,random,2006
y,random,926
y,random,2059
y,random,1592
y,random,1396
y,random,1581
y,random,307
y,random,395
y,random,634
y,random,1826
y,random,1935
y,random,1077
y,random,1919
y,random,735
y,random,1585
y,random,2026
y,random,400
y,random,592
y,random,2068
y,random,1341
y,random,1078
y,random,594
y,random,1245
y,random,156
y,random,1274
y,random,979
y,random,80
y,random,965
y,random,1524
y,random,1995
y,random,379
y,random,1151
y,random,2117
y,random,1125
y,random,1120
y,random,1562
y,random,1319
y,random,986
y,random,322
y,random,1038
y,random,168
y,random,1583
y,random,573
y,random,584
y,random,911
y,random,895
y,random,19
y,random,1215
y,random,1463
y,random,568
y,random,495
y,random,453
y,random,675
y,random,2078
y,random,1566
y,random,814
y,random,1378
y,random,1357
y,random,566
y,random,1724
y,random,1723
y,random,957
y,random,402
y,random,1832
y,random,896
y,random,1033
y,random,935
y,random,1969
y,random,287
y,random,1869
y,random,1699
y,random,919
y,random,1350
y,random,1034
y,random,1407
y,random,93
y,random,1204
y,random,1769
y,random,125
y,random,111
y,random,2152
y,random,755
y,random,1122
y,random,726
y,random,541
y,random,1890
y,random,1667
y,random,1058
y,random,1778
y,random,1704
y,random,323
y,random,972
z,random,2230
z,random,658
z,random,1367
z,random,2847
z,random,2735
z,random,34
z,random,1682
z,random,1956
z,random,511
z,random,778
z,random,1155
z,random,1534
z,random,468
z,random,669
z,random,2194
z,random,773
z,random,429
z,random,70
z,random,2089
z,random,2055
z,random,966
z,random,1918
z,random,995
z,random,1127
z,random,1493
z,random,1649
z,random,2931
z,random,2789
z,random,1852
z,random,2976
z,random,1403
z,random,2536
z,random,136
z,random,2405
z,random,2047
z,random,2746
z,random,2860
z,random,1586
z,random,431
z,random,1001
z,random,667
z,random,2079
z,random,1816
z,random,539
z,random,1612
z,random,1840
z,random,2944
z,random,1654
z,random,981
z,random,2599
z,random,697
z,random,1408
z,random,1299
z,random,687
z,random,1588
z,random,1886
z,random,1141
z,random,676
z,random,871
z,random,2490
z,random,2653
z,random,2803
z,random,343
z,random,2286
z,random,2600
z,random,1093
z,random,719
z,random,2372
z,random,170
z,random,161
z,random,540
z,random,2769
z,random,2635
z,random,2478
z,random,1675
z,random,2256
z,random,763
z,random,317
z,random,2342
z,random,2305
z,random,2244
z,random,459
z,random,1916
z,random,239
z,random,748
z,random,1867
z,random,2184
z,random,1393
z,random,2570
z,random,1721
z,random,2937
z,random,1752
z,random,1339
z,random,660
z,random,1429
z,random,750
z,random,1184
z,random,738
z,random,1321
z,random,2685
x,continuous,846
x,continuous,847
x,continuous,848
x,continuous,849
x,continuous,850
x,continuous,851
x,continuous,852
x,continuous,853
x,continuous,854
x,continuous,855
y,continuous,597
y,continuous,598
y,continuous,599
y,continuous,600
y,continuous,601
y,continuous,602
y,continuous,603
y,continuous,604
y,continuous,605
y,continuous,606
z,continuous,2966
z,continuous,2967
z,continuous,2968
z,continuous,2969
z,continuous,2970
z,continuous,2971
z,continuous,2972
z,continuous,2973
z,continuous,2974
z,continuous,2975
