benchmark_stage,dataset,rw_mb,gap,write_threads,T_read_ms,T_write_ms,T_total_ms,per_slice_ms,notes
reduced,20G_small,32,64K,1,n/a,n/a,141790,1890.53,64K gap too small for X-slice
reduced,20G_small,32,256K,1,n/a,n/a,37033,493.77,best reduced; same as contest full per-slice cost
reduced,20G_small,32,1M,1,n/a,n/a,39009,520.12,
reduced,20G_small,32,4M,1,n/a,n/a,37420,498.93,
reduced,20G_small,64,64K,1,n/a,n/a,39697,529.29,
reduced,20G_small,64,256K,1,n/a,n/a,41619,554.92,
reduced,20G_small,64,1M,1,n/a,n/a,39921,532.28,
reduced,20G_small,64,4M,1,n/a,n/a,38765,516.87,
reduced,20G_small,128,64K,1,n/a,n/a,38828,517.71,
reduced,20G_small,128,256K,1,n/a,n/a,39081,521.08,
reduced,20G_small,128,1M,1,n/a,n/a,39215,522.87,
reduced,20G_small,128,4M,1,n/a,n/a,39890,531.87,
reduced,20G_small,256,64K,1,n/a,n/a,38611,514.81,
reduced,20G_small,256,256K,1,n/a,n/a,38404,512.05,
reduced,20G_small,256,1M,1,n/a,n/a,42217,562.89,
reduced,20G_small,256,4M,1,n/a,n/a,37844,504.59,
