axis,mode,iteration,index,time_ms,output_bytes,io_backend,threads,cache_mb,memory_limit_mb,sb_parallel_mode
x,random,0,46,77.443,24059620,sb-contest,8,0,16384,serial
x,random,1,216,77.443,24059620,sb-contest,8,0,16384,serial
x,random,2,469,77.443,24059620,sb-contest,8,0,16384,serial
x,random,3,192,77.443,24059620,sb-contest,8,0,16384,serial
x,random,4,138,77.443,24059620,sb-contest,8,0,16384,serial
x,random,5,689,77.443,24059620,sb-contest,8,0,16384,serial
x,random,6,677,77.443,24059620,sb-contest,8,0,16384,serial
x,random,7,261,77.443,24059620,sb-contest,8,0,16384,serial
x,random,8,221,77.443,24059620,sb-contest,8,0,16384,serial
x,random,9,530,77.443,24059620,sb-contest,8,0,16384,serial
x,random,10,130,77.443,24059620,sb-contest,8,0,16384,serial
x,random,11,540,77.443,24059620,sb-contest,8,0,16384,serial
x,random,12,691,77.443,24059620,sb-contest,8,0,16384,serial
x,random,13,375,77.443,24059620,sb-contest,8,0,16384,serial
x,random,14,665,77.443,24059620,sb-contest,8,0,16384,serial
x,random,15,643,77.443,24059620,sb-contest,8,0,16384,serial
x,random,16,763,77.443,24059620,sb-contest,8,0,16384,serial
x,random,17,630,77.443,24059620,sb-contest,8,0,16384,serial
x,random,18,163,77.443,24059620,sb-contest,8,0,16384,serial
x,random,19,552,77.443,24059620,sb-contest,8,0,16384,serial
x,random,20,181,77.443,24059620,sb-contest,8,0,16384,serial
x,random,21,211,77.443,24059620,sb-contest,8,0,16384,serial
x,random,22,595,77.443,24059620,sb-contest,8,0,16384,serial
x,random,23,777,77.443,24059620,sb-contest,8,0,16384,serial
x,random,24,688,77.443,24059620,sb-contest,8,0,16384,serial
x,random,25,236,77.443,24059620,sb-contest,8,0,16384,serial
x,random,26,664,77.443,24059620,sb-contest,8,0,16384,serial
x,random,27,758,77.443,24059620,sb-contest,8,0,16384,serial
x,random,28,557,77.443,24059620,sb-contest,8,0,16384,serial
x,random,29,783,77.443,24059620,sb-contest,8,0,16384,serial
x,random,30,0,77.443,24059620,sb-contest,8,0,16384,serial
x,random,31,260,77.443,24059620,sb-contest,8,0,16384,serial
x,random,32,412,77.443,24059620,sb-contest,8,0,16384,serial
x,random,33,399,77.443,24059620,sb-contest,8,0,16384,serial
x,random,34,173,77.443,24059620,sb-contest,8,0,16384,serial
x,random,35,101,77.443,24059620,sb-contest,8,0,16384,serial
x,random,36,180,77.443,24059620,sb-contest,8,0,16384,serial
x,random,37,351,77.443,24059620,sb-contest,8,0,16384,serial
x,random,38,733,77.443,24059620,sb-contest,8,0,16384,serial
x,random,39,205,77.443,24059620,sb-contest,8,0,16384,serial
x,random,40,750,77.443,24059620,sb-contest,8,0,16384,serial
x,random,41,608,77.443,24059620,sb-contest,8,0,16384,serial
x,random,42,560,77.443,24059620,sb-contest,8,0,16384,serial
x,random,43,98,77.443,24059620,sb-contest,8,0,16384,serial
x,random,44,576,77.443,24059620,sb-contest,8,0,16384,serial
x,random,45,618,77.443,24059620,sb-contest,8,0,16384,serial
x,random,46,211,77.443,24059620,sb-contest,8,0,16384,serial
x,random,47,116,77.443,24059620,sb-contest,8,0,16384,serial
x,random,48,349,77.443,24059620,sb-contest,8,0,16384,serial
x,random,49,473,77.443,24059620,sb-contest,8,0,16384,serial
x,random,50,638,77.443,24059620,sb-contest,8,0,16384,serial
x,random,51,618,77.443,24059620,sb-contest,8,0,16384,serial
x,random,52,278,77.443,24059620,sb-contest,8,0,16384,serial
x,random,53,313,77.443,24059620,sb-contest,8,0,16384,serial
x,random,54,316,77.443,24059620,sb-contest,8,0,16384,serial
x,random,55,411,77.443,24059620,sb-contest,8,0,16384,serial
x,random,56,654,77.443,24059620,sb-contest,8,0,16384,serial
x,random,57,200,77.443,24059620,sb-contest,8,0,16384,serial
x,random,58,696,77.443,24059620,sb-contest,8,0,16384,serial
x,random,59,553,77.443,24059620,sb-contest,8,0,16384,serial
x,random,60,353,77.443,24059620,sb-contest,8,0,16384,serial
x,random,61,277,77.443,24059620,sb-contest,8,0,16384,serial
x,random,62,796,77.443,24059620,sb-contest,8,0,16384,serial
x,random,63,622,77.443,24059620,sb-contest,8,0,16384,serial
x,random,64,630,77.443,24059620,sb-contest,8,0,16384,serial
x,random,65,582,77.443,24059620,sb-contest,8,0,16384,serial
x,random,66,198,77.443,24059620,sb-contest,8,0,16384,serial
x,random,67,394,77.443,24059620,sb-contest,8,0,16384,serial
x,random,68,453,77.443,24059620,sb-contest,8,0,16384,serial
x,random,69,186,77.443,24059620,sb-contest,8,0,16384,serial
x,random,70,148,77.443,24059620,sb-contest,8,0,16384,serial
x,random,71,578,77.443,24059620,sb-contest,8,0,16384,serial
x,random,72,194,77.443,24059620,sb-contest,8,0,16384,serial
x,random,73,649,77.443,24059620,sb-contest,8,0,16384,serial
x,random,74,69,77.443,24059620,sb-contest,8,0,16384,serial
x,random,75,298,77.443,24059620,sb-contest,8,0,16384,serial
x,random,76,6,77.443,24059620,sb-contest,8,0,16384,serial
x,random,77,243,77.443,24059620,sb-contest,8,0,16384,serial
x,random,78,65,77.443,24059620,sb-contest,8,0,16384,serial
x,random,79,505,77.443,24059620,sb-contest,8,0,16384,serial
x,random,80,28,77.443,24059620,sb-contest,8,0,16384,serial
x,random,81,164,77.443,24059620,sb-contest,8,0,16384,serial
x,random,82,135,77.443,24059620,sb-contest,8,0,16384,serial
x,random,83,71,77.443,24059620,sb-contest,8,0,16384,serial
x,random,84,366,77.443,24059620,sb-contest,8,0,16384,serial
x,random,85,440,77.443,24059620,sb-contest,8,0,16384,serial
x,random,86,158,77.443,24059620,sb-contest,8,0,16384,serial
x,random,87,741,77.443,24059620,sb-contest,8,0,16384,serial
x,random,88,482,77.443,24059620,sb-contest,8,0,16384,serial
x,random,89,719,77.443,24059620,sb-contest,8,0,16384,serial
x,random,90,623,77.443,24059620,sb-contest,8,0,16384,serial
x,random,91,296,77.443,24059620,sb-contest,8,0,16384,serial
x,random,92,115,77.443,24059620,sb-contest,8,0,16384,serial
x,random,93,345,77.443,24059620,sb-contest,8,0,16384,serial
x,random,94,747,77.443,24059620,sb-contest,8,0,16384,serial
x,random,95,571,77.443,24059620,sb-contest,8,0,16384,serial
x,random,96,793,77.443,24059620,sb-contest,8,0,16384,serial
x,random,97,671,77.443,24059620,sb-contest,8,0,16384,serial
x,random,98,125,77.443,24059620,sb-contest,8,0,16384,serial
x,random,99,473,77.443,24059620,sb-contest,8,0,16384,serial
y,random,0,1376,77.443,8013204,sb-contest,8,0,16384,serial
y,random,1,1270,77.443,8013204,sb-contest,8,0,16384,serial
y,random,2,242,77.443,8013204,sb-contest,8,0,16384,serial
y,random,3,762,77.443,8013204,sb-contest,8,0,16384,serial
y,random,4,1409,77.443,8013204,sb-contest,8,0,16384,serial
y,random,5,1373,77.443,8013204,sb-contest,8,0,16384,serial
y,random,6,1601,77.443,8013204,sb-contest,8,0,16384,serial
y,random,7,651,77.443,8013204,sb-contest,8,0,16384,serial
y,random,8,627,77.443,8013204,sb-contest,8,0,16384,serial
y,random,9,2278,77.443,8013204,sb-contest,8,0,16384,serial
y,random,10,1442,77.443,8013204,sb-contest,8,0,16384,serial
y,random,11,1976,77.443,8013204,sb-contest,8,0,16384,serial
y,random,12,1703,77.443,8013204,sb-contest,8,0,16384,serial
y,random,13,1149,77.443,8013204,sb-contest,8,0,16384,serial
y,random,14,2263,77.443,8013204,sb-contest,8,0,16384,serial
y,random,15,1671,77.443,8013204,sb-contest,8,0,16384,serial
y,random,16,2379,77.443,8013204,sb-contest,8,0,16384,serial
y,random,17,1900,77.443,8013204,sb-contest,8,0,16384,serial
y,random,18,83,77.443,8013204,sb-contest,8,0,16384,serial
y,random,19,696,77.443,8013204,sb-contest,8,0,16384,serial
y,random,20,842,77.443,8013204,sb-contest,8,0,16384,serial
y,random,21,2129,77.443,8013204,sb-contest,8,0,16384,serial
y,random,22,414,77.443,8013204,sb-contest,8,0,16384,serial
y,random,23,2268,77.443,8013204,sb-contest,8,0,16384,serial
y,random,24,1175,77.443,8013204,sb-contest,8,0,16384,serial
y,random,25,212,77.443,8013204,sb-contest,8,0,16384,serial
y,random,26,2029,77.443,8013204,sb-contest,8,0,16384,serial
y,random,27,965,77.443,8013204,sb-contest,8,0,16384,serial
y,random,28,1338,77.443,8013204,sb-contest,8,0,16384,serial
y,random,29,246,77.443,8013204,sb-contest,8,0,16384,serial
y,random,30,189,77.443,8013204,sb-contest,8,0,16384,serial
y,random,31,2278,77.443,8013204,sb-contest,8,0,16384,serial
y,random,32,1006,77.443,8013204,sb-contest,8,0,16384,serial
y,random,33,1365,77.443,8013204,sb-contest,8,0,16384,serial
y,random,34,1790,77.443,8013204,sb-contest,8,0,16384,serial
y,random,35,552,77.443,8013204,sb-contest,8,0,16384,serial
y,random,36,781,77.443,8013204,sb-contest,8,0,16384,serial
y,random,37,2182,77.443,8013204,sb-contest,8,0,16384,serial
y,random,38,2052,77.443,8013204,sb-contest,8,0,16384,serial
y,random,39,349,77.443,8013204,sb-contest,8,0,16384,serial
y,random,40,2058,77.443,8013204,sb-contest,8,0,16384,serial
y,random,41,706,77.443,8013204,sb-contest,8,0,16384,serial
y,random,42,1627,77.443,8013204,sb-contest,8,0,16384,serial
y,random,43,1064,77.443,8013204,sb-contest,8,0,16384,serial
y,random,44,824,77.443,8013204,sb-contest,8,0,16384,serial
y,random,45,1972,77.443,8013204,sb-contest,8,0,16384,serial
y,random,46,1329,77.443,8013204,sb-contest,8,0,16384,serial
y,random,47,517,77.443,8013204,sb-contest,8,0,16384,serial
y,random,48,339,77.443,8013204,sb-contest,8,0,16384,serial
y,random,49,166,77.443,8013204,sb-contest,8,0,16384,serial
y,random,50,1357,77.443,8013204,sb-contest,8,0,16384,serial
y,random,51,156,77.443,8013204,sb-contest,8,0,16384,serial
