benchmark_stage,strategy,benchmark_mode,dataset,random_count,continuous_count,repeat_id,total_wall_time_ms,avg_per_slice_ms,mean,min,max,std,max_abs_error,mismatch_count,notes
reduced,SB parallel-read,single_slice_latency,20G_small,20,5,1,1493.02,19.91,1512.65,1492.72,1552.21,33.72,0,0,baseline
reduced,SB parallel-read,single_slice_latency,20G_small,20,5,2,1492.72,19.90,1512.65,1492.72,1552.21,33.72,0,0,warm
reduced,SB parallel-read,single_slice_latency,20G_small,20,5,3,1552.21,20.70,1512.65,1492.72,1552.21,33.72,0,0,warm
reduced,HDD read-window,single_slice_latency,20G_small,20,5,1,1480.05,19.73,1516.71,1480.05,1585.84,59.60,0,0,stable strategy
reduced,HDD read-window,single_slice_latency,20G_small,20,5,2,1585.84,21.14,1516.71,1480.05,1585.84,59.60,0,0,warm
reduced,HDD read-window,single_slice_latency,20G_small,20,5,3,1484.25,19.79,1516.71,1480.05,1585.84,59.60,0,0,warm
reduced,HDD batch planner,batch_throughput,20G_small,20,5,1,607.20,8.10,621.21,602.57,653.85,28.49,0,0,experimental
reduced,HDD batch planner,batch_throughput,20G_small,20,5,2,653.85,8.72,621.21,602.57,653.85,28.49,0,0,experimental
reduced,HDD batch planner,batch_throughput,20G_small,20,5,3,602.57,8.03,621.21,602.57,653.85,28.49,0,0,experimental
reduced,SB parallel-read,single_slice_latency,50G_big,20,5,1,2543.35,33.91,2497.72,2437.18,2543.35,54.47,0,0,baseline
reduced,SB parallel-read,single_slice_latency,50G_big,20,5,2,2512.64,33.50,2497.72,2437.18,2543.35,54.47,0,0,warm
reduced,SB parallel-read,single_slice_latency,50G_big,20,5,3,2437.18,32.50,2497.72,2437.18,2543.35,54.47,0,0,warm
reduced,HDD batch planner,batch_throughput,50G_big,20,5,1,1194.45,15.93,1156.51,1129.89,1194.45,33.13,0,0,experimental
reduced,HDD batch planner,batch_throughput,50G_big,20,5,2,1129.89,15.07,1156.51,1129.89,1194.45,33.13,0,0,experimental
reduced,HDD batch planner,batch_throughput,50G_big,20,5,3,1145.18,15.27,1156.51,1129.89,1194.45,33.13,0,0,experimental
