rw_mb,gap,strategy,T_total_ms
16,64K,HDD read-window,13792.92
16,256K,HDD read-window,5268.31
16,1M,HDD read-window,1634.86
16,4M,HDD read-window,1699.93
32,64K,HDD read-window,1711.32
32,256K,HDD read-window,1632.74
32,1M,HDD read-window,1718.98
32,4M,HDD read-window,1727.61
64,64K,HDD read-window,1619.64
64,256K,HDD read-window,1736.82
64,1M,HDD read-window,1705.37
64,4M,HDD read-window,1659.93
128,64K,HDD read-window,1748.04
128,256K,HDD read-window,1796.62
128,1M,HDD read-window,1785.36
128,4M,HDD read-window,1803.90
