layout,axis,blocks_touched,bytes_read,slice_bytes,read_amplification,contiguous_runs,metadata_bytes,storage_total,storage_ratio,leaf_count,merged_extent_4KB,merged_extent_16KB,merged_extent_64KB,est_syscalls,panel_hit_rate,panel_hit_bytes,panel_miss_bytes,panel_expected_bytes
sb-default,x,1520,1593835520,24059620,66.25x,1520,256,20719862016,1.08,0,0,0,0,0,0.00,0,0,0.00
sb-default,y,520,545259520,8013204,68.05x,40,256,20719862016,1.08,0,0,0,0,0,0.00,0,0,0.00
sb-default,z,494,517996544,7705620,67.22x,38,256,20719862016,1.08,0,0,0,0,0,0.00,0,0,0.00
sb+xpanel-s4,x,1520,1593835520,24059620,66.25x,1520,158336,25899985536,1.34,0,0,0,0,0,0.25,24903680,1593835520,1201602560.00
sb+xpanel-s4,y,520,545259520,8013204,68.05x,40,158336,25899985536,1.34,0,0,0,0,0,0.00,0,0,0.00
sb+xpanel-s4,z,494,517996544,7705620,67.22x,38,158336,25899985536,1.34,0,0,0,0,0,0.00,0,0,0.00
sb+xypanel-s4,x,1520,1593835520,24059620,66.25x,1520,316416,31080109056,1.61,0,0,0,0,0,0.25,24903680,1593835520,1201602560.00
sb+xypanel-s4,y,520,545259520,8013204,68.05x,40,316416,31080109056,1.61,0,0,0,0,0,0.25,8519680,545259520,411074560.00
sb+xypanel-s4,z,494,517996544,7705620,67.22x,38,316416,31080109056,1.61,0,0,0,0,0,0.00,0,0,0.00
leaf-index,x,389120,99614720,24059620,4.14x,24320,647495680,21367357696,1.11,389120,24320,6080,1520,6080,0.00,0,0,0.00
leaf-index,y,133120,34078720,8013204,4.25x,8320,647495680,21367357696,1.11,133120,8320,2080,520,2080,0.00,0,0,0.00
leaf-index,z,126464,32374784,7705620,4.20x,7904,647495680,21367357696,1.11,126464,7904,1976,494,1976,0.00,0,0,0.00
microblock-16,x,23707,388415488,24059620,16.14x,23707,9672456,19818862600,1.03,0,0,0,0,0,0.00,0,0,0.00
microblock-16,y,8007,131186688,8013204,16.37x,8007,9672456,19818862600,1.03,0,0,0,0,0,0.00,0,0,0.00
microblock-16,z,7701,126173184,7705620,16.37x,7701,9672456,19818862600,1.03,0,0,0,0,0,0.00,0,0,0.00
