layout,axis,blocks_touched,bytes_read,slice_bytes,read_amplification,contiguous_runs,metadata_bytes,storage_total,storage_ratio
sb-default,x,1645,1724907520,26412000,65.31x,1645,256,55197040896,1.04
sb-default,y,1504,1577058304,24012000,65.68x,47,256,55197040896,1.04
sb-default,z,1120,1174405120,17616804,66.66x,35,256,55197040896,1.04
sb+xpanel-s4,x,1645,1724907520,26412000,65.31x,1645,256,68996722176,1.31
sb+xpanel-s4,y,1504,1577058304,24012000,65.68x,47,256,68996722176,1.31
sb+xpanel-s4,z,1120,1174405120,17616804,66.66x,35,256,68996722176,1.31
sb+xypanel-s4,x,1645,1724907520,26412000,65.31x,1645,256,82795982336,1.57
sb+xypanel-s4,y,1504,1577058304,24012000,65.68x,47,256,82795982336,1.57
sb+xypanel-s4,z,1120,1174405120,17616804,66.66x,35,256,82795982336,1.57
leaf-index,x,421120,107806720,26412000,4.08x,421120,1724907520,56921948416,1.08
leaf-index,y,385024,98566144,24012000,4.10x,385024,1724907520,56921948416,1.08
leaf-index,z,286720,73400320,17616804,4.17x,286720,1724907520,56921948416,1.08
microblock-32,x,6486,850132992,26412000,32.19x,6486,3268944,53561647696,1.01
microblock-32,y,5922,776208384,24012000,32.33x,5922,3268944,53561647696,1.01
microblock-32,z,4347,569769984,17616804,32.34x,4347,3268944,53561647696,1.01
microblock-16,x,25944,425066496,26412000,16.09x,25944,26151552,53584530304,1.01
microblock-16,y,23688,388104192,24012000,16.16x,23688,26151552,53584530304,1.01
microblock-16,z,17388,284884992,17616804,16.17x,17388,26151552,53584530304,1.01
