axis,type,index
x,random,483
x,random,736
x,random,761
x,random,241
x,random,492
x,random,543
x,random,243
x,random,280
x,random,42
x,random,26
x,random,627
x,random,315
x,random,33
x,random,567
x,random,639
x,random,320
x,random,97
x,random,589
x,random,278
x,random,597
x,random,101
x,random,15
x,random,428
x,random,324
x,random,61
x,random,539
x,random,35
x,random,581
x,random,404
x,random,497
x,random,536
x,random,16
x,random,690
x,random,3
x,random,75
x,random,417
x,random,137
x,random,510
x,random,728
x,random,480
x,random,792
x,random,588
x,random,733
x,random,186
x,random,437
x,random,668
x,random,389
x,random,200
x,random,267
x,random,713
x,random,469
x,random,593
x,random,156
x,random,184
x,random,777
x,random,11
x,random,43
x,random,481
x,random,514
x,random,254
x,random,44
x,random,550
x,random,630
x,random,18
x,random,308
x,random,439
x,random,799
x,random,478
x,random,515
x,random,455
x,random,504
x,random,140
x,random,70
x,random,222
x,random,427
x,random,244
x,random,212
x,random,20
x,random,790
x,random,458
x,random,653
x,random,721
x,random,63
x,random,336
x,random,406
x,random,765
x,random,295
x,random,471
x,random,333
x,random,383
x,random,708
x,random,686
x,random,707
x,random,540
x,random,162
x,random,325
x,random,32
x,random,19
x,random,651
x,random,718
y,random,1165
y,random,1318
y,random,984
y,random,427
y,random,2094
y,random,297
y,random,1099
y,random,1829
y,random,2225
y,random,739
y,random,2133
y,random,639
y,random,1701
y,random,979
y,random,1190
y,random,1535
y,random,916
y,random,486
y,random,1932
y,random,1736
y,random,1775
y,random,1407
y,random,928
y,random,1427
y,random,1444
y,random,1782
y,random,1022
y,random,162
y,random,1903
y,random,1748
y,random,504
y,random,627
y,random,1371
y,random,399
y,random,1319
y,random,976
y,random,1009
y,random,1074
y,random,202
y,random,749
y,random,2277
y,random,1087
y,random,30
y,random,2117
y,random,27
y,random,1570
y,random,1056
y,random,990
y,random,155
y,random,1619
y,random,472
y,random,1857
y,random,1524
y,random,711
y,random,83
y,random,640
y,random,1935
y,random,2000
y,random,230
y,random,145
y,random,712
y,random,1745
y,random,2322
y,random,1271
y,random,558
y,random,915
y,random,871
y,random,1490
y,random,1441
y,random,1507
y,random,2245
y,random,1153
y,random,678
y,random,1567
y,random,471
y,random,2179
y,random,393
y,random,310
y,random,2165
y,random,1553
y,random,730
y,random,2351
y,random,1755
y,random,175
y,random,2244
y,random,1001
y,random,2325
y,random,376
y,random,345
y,random,966
y,random,242
y,random,53
y,random,1860
y,random,1618
y,random,40
y,random,388
y,random,1265
y,random,77
y,random,1635
y,random,1193
z,random,1526
z,random,1562
z,random,316
z,random,1655
z,random,855
z,random,2310
z,random,731
z,random,1558
z,random,2378
z,random,1616
z,random,1843
z,random,1152
z,random,203
z,random,47
z,random,1408
z,random,791
z,random,172
z,random,913
z,random,1188
z,random,1808
z,random,1581
z,random,1917
z,random,495
z,random,1760
z,random,590
z,random,1769
z,random,1567
z,random,665
z,random,1554
z,random,1619
z,random,1163
z,random,374
z,random,1447
z,random,1780
z,random,560
z,random,1416
z,random,1736
z,random,1932
z,random,1465
z,random,75
z,random,625
z,random,1534
z,random,2360
z,random,701
z,random,270
z,random,2449
z,random,1294
z,random,1156
z,random,2151
z,random,1025
z,random,1982
z,random,1375
z,random,2383
z,random,1856
z,random,1572
z,random,2386
z,random,1764
z,random,1240
z,random,1379
z,random,514
z,random,2482
z,random,1079
z,random,323
z,random,957
z,random,1865
z,random,921
z,random,252
z,random,1839
z,random,637
z,random,1971
z,random,131
z,random,1262
z,random,747
z,random,1290
z,random,694
z,random,2226
z,random,57
z,random,1541
z,random,1627
z,random,1051
z,random,230
z,random,2414
z,random,714
z,random,1987
z,random,1409
z,random,2384
z,random,2066
z,random,1367
z,random,2405
z,random,1018
z,random,1105
z,random,378
z,random,789
z,random,620
z,random,1351
z,random,804
z,random,873
z,random,1335
z,random,1054
z,random,1306
x,continuous,144
x,continuous,145
x,continuous,146
x,continuous,147
x,continuous,148
x,continuous,149
x,continuous,150
x,continuous,151
x,continuous,152
x,continuous,153
y,continuous,330
y,continuous,331
y,continuous,332
y,continuous,333
y,continuous,334
y,continuous,335
y,continuous,336
y,continuous,337
y,continuous,338
y,continuous,339
z,continuous,2198
z,continuous,2199
z,continuous,2200
z,continuous,2201
z,continuous,2202
z,continuous,2203
z,continuous,2204
z,continuous,2205
z,continuous,2206
z,continuous,2207
